bucket;n_cols;max_corr_Z;mean_corr_Z;max_corr_T;max_corr_Y
01_d_ori_gov;3;0.0263;0.0235;0.0189;0.0859
02_d_ori_part;6;0.1353;0.0592;0.0496;0.2843
03_d_ori_mai;4;0.2567;0.1355;0.1185;0.0477
04_d_ori_min;5;0.0827;0.0623;0.0445;0.048
05_d_ori_op;5;0.1418;0.091;0.118;0.0256
06_d_ori_bancada;6;0.1353;0.0592;0.0496;0.2843
07_d_tipoVotacao;32;0.1779;0.059;0.1158;0.0442
08_d_tema;19;0.1373;0.0453;0.0529;0.0114
09_tipoAutor;7;0.1779;0.0773;0.078;0.0381
11_d_escolaridade;5;0.0323;0.0191;0.025;0.0428
12_d_uf_reg;7;0.0348;0.0178;0.0129;0.0505
13_d_part;2;0.025;0.025;0.0144;0.038
14_d_demograficas;6;0.0677;0.0329;0.0339;0.4948
16_d_N_part_leg;18;0.0849;0.0288;0.0414;0.302
17_idade;2;0.0187;0.0187;0.003;0.0078
19_election;2;0.2512;0.2084;0.2209;0.0227
20_n_aggregates;7;0.2826;0.0871;0.0909;0.215
21_pct_aggregates;3;0.2576;0.2035;0.0587;0.1395
22_tamanho;1;0.0323;0.0323;0.0344;0.1231
23_vote_outcome;4;0.1088;0.0764;0.0405;0.0666
24_polarization;2;0.1222;0.1159;0.0406;0.1495
