coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;group;model;iv_set
0.001883;0.000984;0.00088994;0.00046515;0.089;0.1883;0.055719;*;140303;2.115732;PEC;PLR;none
-0.119353;0.006099;-0.05641229;0.00288258;-5.6412;-11.9353;0.0;***;140303;2.115732;PEC;PLIV;backlog
0.003562;0.000676;0.00147677;0.00028042;0.1477;0.3562;0.0;***;310464;2.411878;MPV;PLR;none
0.103852;0.00632;0.04305854;0.0026205;4.3059;10.3852;0.0;***;310464;2.411878;MPV;PLIV;backlog
0.006;0.001198;0.00243215;0.00048566;0.2432;0.6;1e-06;***;104997;2.466806;PLP;PLR;none
-0.259581;0.014365;-0.10522958;0.00582341;-10.523;-25.9581;0.0;***;104997;2.466806;PLP;PLIV;backlog
0.003609;0.000708;0.00130918;0.00025672;0.1309;0.3609;0.0;***;290935;2.756611;PL;PLR;none
0.014538;0.004578;0.00527403;0.0016609;0.5274;1.4538;0.001496;***;290935;2.756611;PL;PLIV;backlog
-0.00147;0.005234;-0.0006784;0.00241577;-0.0678;-0.147;0.778848;;3525;2.166748;MSC;PLR;none
-0.013074;0.10638;-0.00603412;0.04909643;-0.6034;-1.3074;0.902184;;3525;2.166748;MSC;PLIV;backlog
