proxy;n_not_null;pct_coverage;mean_positive
P1_lag_medio;49132;45.62;672.6857363149937
P1_pct_exec;49138;45.63;0.8045006636927248
P2_pct_concluido;56202;52.19;0.3373709474744727
P2_pct_problema;56202;52.19;0.21518906542117894
P3_vl_uf_total;48893;45.4;59681826.756038696
P3_vl_uf_pix;48893;45.4;69064510.03548743
P4_rp9_prefeito;107688;100.0;3316743.789320512
P5_share_individual;25516;23.69;0.001491726859100752
P6_n_cargos;107180;99.53;12.738365366672888
P6_tier2;107180;99.53;1.276497162052589
P6_mesa;107180;99.53;
