ano;n_deputados;n_convenios;lag_medio_dias;lag_mediano_dias;pct_exec_medio
2009;1;1;;;
2010;429;2838;897.0015426509739;837.2241379310345;0.7777676755736362
2011;472;6453;857.7125404349378;796.2578125;0.6593245724572493
2012;578;7140;857.078587761686;803.9795501022495;0.7034159734550005
2013;570;9450;888.6789097415476;831.8263473053893;0.6566428537066021
2014;591;8790;868.790035623161;809.300796812749;0.6808174580940607
2015;608;4481;745.0237337640403;711.1737588652483;0.6607726501170466
2016;609;10913;757.1684405122982;695.3805309734513;0.6699129422208079
2017;606;8888;806.3185521182718;769.6973180076628;0.7612087765020578
2018;583;4677;718.8213177731185;668.7424547283703;0.9567726813575249
2019;584;7490;679.4724139844623;635.3211462450593;0.8915511464495315
2020;575;6599;696.0126109619177;659.1884615384615;1.071753984527536
2021;520;5931;500.3539192452693;470.128125;1.0022747443549391
2022;460;4024;456.5757602455406;430.425831202046;0.9098613707096661
2023;447;7057;378.5716171237305;367.73173803526447;0.7754224497271345
2024;501;7936;327.7489718526357;325.6824480369515;0.7013974805251318
2025;469;10130;160.17855276127307;158.2745398773006;0.48651500526928493
2026;424;4537;49.213888888888896;48.96296296296296;0.5322383194984747
