ano;n_deputados;n_with_imputed;pct_with_imputed;mean_R_M_positivos;total_R_bi
2003;526;0;0.0;0.0;0.0
2004;539;0;0.0;0.0;0.0
2005;542;0;0.0;0.0;0.0
2006;549;0;0.0;0.0;0.0
2007;532;0;0.0;0.0;0.0
2008;543;0;0.0;0.0;0.0
2009;541;0;0.0;0.0;0.0
2010;542;0;0.0;0.0;0.0
2011;552;0;0.0;0.0;0.0
2012;554;0;0.0;0.0;0.0
2013;534;0;0.0;0.0;0.0
2014;556;0;0.0;0.0;0.0
2015;548;0;0.0;0.0;0.0
2016;560;0;0.0;0.0;0.0
2017;539;0;0.0;0.0;0.0
2018;552;0;0.0;0.0;0.0
2019;531;0;0.0;0.0;0.0
2020;540;444;82.22222222222221;2.2520259290090086;0.99989951248
2021;543;458;84.34622467771639;4.085875115895196;1.87133080308
2022;554;0;0.0;0.0;0.0
2023;555;0;0.0;0.0;0.0
2024;572;0;0.0;0.0;0.0
2025;517;0;0.0;0.0;0.0
