mes;status_bols;align_mean;n
2019-02-01;coal;2019.0;2382
2019-02-01;indep;2019.0;3285
2019-02-01;opos;2019.0;2031
2019-03-01;coal;2019.0;3103
2019-03-01;indep;2019.0;4052
2019-03-01;opos;2019.0;2591
2019-04-01;coal;2019.0;267
2019-04-01;indep;2019.0;341
2019-04-01;opos;2019.0;211
2019-05-01;coal;2019.0;6293
2019-05-01;indep;2019.0;6169
2019-05-01;opos;2019.0;4093
2019-06-01;coal;2019.0;1994
2019-06-01;indep;2019.0;1539
2019-06-01;opos;2019.0;1475
2019-07-01;coal;2019.0;6068
2019-07-01;indep;2019.0;4630
2019-07-01;opos;2019.0;4229
2019-08-01;coal;2019.0;9484
2019-08-01;indep;2019.0;6140
2019-08-01;opos;2019.0;5897
2019-09-01;coal;2019.0;5427
2019-09-01;indep;2019.0;2728
2019-09-01;opos;2019.0;3353
2019-10-01;coal;2019.0;3957
2019-10-01;indep;2019.0;2071
2019-10-01;opos;2019.0;2425
2019-11-01;coal;2019.0;5418
2019-11-01;indep;2019.0;2750
2019-11-01;opos;2019.0;3172
2019-12-01;coal;2019.0;5894
2019-12-01;indep;2019.0;2902
2019-12-01;opos;2019.0;3603
2020-02-01;coal;2020.0;3435
2020-02-01;indep;2020.0;1740
2020-02-01;opos;2020.0;1939
2020-03-01;coal;2020.0;237
2020-03-01;indep;2020.0;115
2020-03-01;opos;2020.0;135
2020-04-01;coal;2020.0;8184
2020-04-01;indep;2020.0;3948
2020-04-01;opos;2020.0;4283
2020-05-01;coal;2020.0;8339
2020-05-01;indep;2020.0;4201
2020-05-01;opos;2020.0;5050
2020-06-01;coal;2020.0;11495
2020-06-01;indep;2020.0;5657
2020-06-01;opos;2020.0;7174
2020-07-01;coal;2020.0;10987
2020-07-01;indep;2020.0;5652
2020-07-01;opos;2020.0;6928
2020-08-01;coal;2020.0;3429
2020-08-01;indep;2020.0;1773
2020-08-01;opos;2020.0;2047
2020-09-01;coal;2020.0;2561
2020-09-01;indep;2020.0;1305
2020-09-01;opos;2020.0;1618
2020-11-01;coal;2020.0;1335
2020-11-01;indep;2020.0;710
2020-11-01;opos;2020.0;366
2020-12-01;coal;2020.0;25271
2020-12-01;indep;2020.0;13949
2020-12-01;opos;2020.0;15519
2021-02-01;coal;2021.0;7134
2021-02-01;indep;2021.0;3705
2021-02-01;opos;2021.0;3765
2021-03-01;coal;2021.0;15004
2021-03-01;indep;2021.0;7314
2021-03-01;opos;2021.0;8118
2021-04-01;coal;2021.0;7830
2021-04-01;indep;2021.0;4063
2021-04-01;opos;2021.0;4686
2021-05-01;coal;2021.0;22807
2021-05-01;indep;2021.0;11729
2021-05-01;opos;2021.0;13407
2021-06-01;coal;2021.0;15822
2021-06-01;indep;2021.0;8060
2021-06-01;opos;2021.0;9310
2021-07-01;coal;2021.0;7117
2021-07-01;indep;2021.0;3726
2021-07-01;opos;2021.0;4345
2021-08-01;coal;2021.0;21736
2021-08-01;indep;2021.0;11195
2021-08-01;opos;2021.0;13555
2021-09-01;coal;2021.0;19306
2021-09-01;indep;2021.0;9889
2021-09-01;opos;2021.0;11858
2021-10-01;coal;2021.0;10543
2021-10-01;indep;2021.0;5485
2021-10-01;opos;2021.0;6754
2021-11-01;coal;2021.0;11917
2021-11-01;indep;2021.0;5841
2021-11-01;opos;2021.0;6958
2021-12-01;coal;2021.0;10585
2021-12-01;indep;2021.0;5100
2021-12-01;opos;2021.0;6112
2022-02-01;coal;2022.0;14857
2022-02-01;indep;2022.0;7591
2022-02-01;opos;2022.0;8880
2022-03-01;coal;2022.0;14077
2022-03-01;indep;2022.0;5217
2022-03-01;opos;2022.0;7226
2022-04-01;coal;2022.0;12692
2022-04-01;indep;2022.0;3235
2022-04-01;opos;2022.0;5713
2022-05-01;coal;2022.0;18421
2022-05-01;indep;2022.0;4667
2022-05-01;opos;2022.0;8460
2022-06-01;coal;2022.0;8046
2022-06-01;indep;2022.0;2090
2022-06-01;opos;2022.0;3647
2022-07-01;coal;2022.0;8492
2022-07-01;indep;2022.0;2192
2022-07-01;opos;2022.0;3639
2022-08-01;coal;2022.0;14870
2022-08-01;indep;2022.0;3755
2022-08-01;opos;2022.0;6970
2022-10-01;coal;2022.0;1659
2022-10-01;indep;2022.0;400
2022-10-01;opos;2022.0;747
2022-11-01;coal;2022.0;5694
2022-11-01;indep;2022.0;1427
2022-11-01;opos;2022.0;2648
2022-12-01;coal;2022.0;10129
2022-12-01;indep;2022.0;2692
2022-12-01;opos;2022.0;4730
2023-03-01;coal;2023.0;1883
2023-03-01;indep;2023.0;508
2023-03-01;opos;2023.0;860
2023-04-01;coal;2023.0;2360
2023-04-01;indep;2023.0;547
2023-04-01;opos;2023.0;1062
2023-05-01;coal;2023.0;10242
2023-05-01;indep;2023.0;2453
2023-05-01;opos;2023.0;4678
2023-06-01;coal;2023.0;1429
2023-06-01;indep;2023.0;357
2023-06-01;opos;2023.0;631
2023-07-01;coal;2023.0;6820
2023-07-01;indep;2023.0;1657
2023-07-01;opos;2023.0;3034
2023-08-01;coal;2023.0;7126
2023-08-01;indep;2023.0;1700
2023-08-01;opos;2023.0;3235
2023-09-01;coal;2023.0;8829
2023-09-01;indep;2023.0;1914
2023-09-01;opos;2023.0;3896
2023-10-01;coal;2023.0;7714
2023-10-01;indep;2023.0;1818
2023-10-01;opos;2023.0;3576
2023-11-01;coal;2023.0;9633
2023-11-01;indep;2023.0;2255
2023-11-01;opos;2023.0;4249
2023-12-01;coal;2023.0;17049
2023-12-01;indep;2023.0;4127
2023-12-01;opos;2023.0;7600
2024-02-01;coal;2024.0;2892
2024-02-01;indep;2024.0;753
2024-02-01;opos;2024.0;1351
2024-03-01;coal;2024.0;8328
2024-03-01;indep;2024.0;2044
2024-03-01;opos;2024.0;3715
2024-04-01;coal;2024.0;3026
2024-04-01;indep;2024.0;732
2024-04-01;opos;2024.0;1326
2024-05-01;coal;2024.0;8504
2024-05-01;indep;2024.0;2183
2024-05-01;opos;2024.0;3956
2024-06-01;coal;2024.0;1767
2024-06-01;indep;2024.0;445
2024-06-01;opos;2024.0;780
2024-07-01;coal;2024.0;6527
2024-07-01;indep;2024.0;1580
2024-07-01;opos;2024.0;2941
2024-08-01;coal;2024.0;4887
2024-08-01;indep;2024.0;1271
2024-08-01;opos;2024.0;2136
2024-09-01;coal;2024.0;6696
2024-09-01;indep;2024.0;1779
2024-09-01;opos;2024.0;3085
2024-10-01;coal;2024.0;2458
2024-10-01;indep;2024.0;622
2024-10-01;opos;2024.0;1148
2024-11-01;coal;2024.0;6401
2024-11-01;indep;2024.0;1590
2024-11-01;opos;2024.0;2996
2024-12-01;coal;2024.0;12982
2024-12-01;indep;2024.0;3479
2024-12-01;opos;2024.0;6082
2025-02-01;coal;2025.0;2534
2025-02-01;indep;2025.0;628
2025-02-01;opos;2025.0;1215
2025-03-01;coal;2025.0;2707
2025-03-01;indep;2025.0;773
2025-03-01;opos;2025.0;1442
2025-04-01;coal;2025.0;2777
2025-04-01;indep;2025.0;770
2025-04-01;opos;2025.0;1375
