f_stat;n;n_iv;spec;window;legis;iv_set
5106.97;869902;2;reduced;pre;all;fiscal
4902.82;869902;2;reduced;pre;all;backlog
3299.43;226308;2;reduced;pre;55;fiscal
5497.24;226308;2;reduced;pre;55;backlog
6204.57;643594;2;reduced;pre;56;fiscal
3402.28;643594;2;reduced;pre;56;backlog
5417.15;715753;2;full;pre;all;fiscal
3525.82;715753;2;full;pre;all;backlog
2873.11;224780;2;full;pre;55;fiscal
3802.47;224780;2;full;pre;55;backlog
7575.95;490973;2;full;pre;56;fiscal
3452.7;490973;2;full;pre;56;backlog
3062.62;869902;2;reduced;sym;all;fiscal
6105.34;869902;2;reduced;sym;all;backlog
1311.0;226308;2;reduced;sym;55;fiscal
1719.23;226308;2;reduced;sym;55;backlog
6729.75;643594;2;reduced;sym;56;fiscal
14402.08;643594;2;reduced;sym;56;backlog
2698.55;715753;2;full;sym;all;fiscal
6749.0;715753;2;full;sym;all;backlog
801.04;224780;2;full;sym;55;fiscal
168.58;224780;2;full;sym;55;backlog
6203.54;490973;2;full;sym;56;fiscal
14559.95;490973;2;full;sym;56;backlog
