j_stat;j_pval;df;n;spec;window;legis;iv_set
1259.39;0.0;1;869902;reduced;pre;all;fiscal
1399.56;0.0;1;869902;reduced;pre;all;backlog
514.67;0.0;1;226308;reduced;pre;55;fiscal
272.43;0.0;1;226308;reduced;pre;55;backlog
738.72;0.0;1;643594;reduced;pre;56;fiscal
3.08;0.079235;1;643594;reduced;pre;56;backlog
6.14;0.013183;1;715753;full;pre;all;fiscal
500.75;0.0;1;715753;full;pre;all;backlog
321.51;0.0;1;224780;full;pre;55;fiscal
251.75;0.0;1;224780;full;pre;55;backlog
81.52;0.0;1;490973;full;pre;56;fiscal
0.14;0.704637;1;490973;full;pre;56;backlog
666.57;0.0;1;869902;reduced;sym;all;fiscal
831.43;0.0;1;869902;reduced;sym;all;backlog
22.31;2e-06;1;226308;reduced;sym;55;fiscal
193.27;0.0;1;226308;reduced;sym;55;backlog
657.4;0.0;1;643594;reduced;sym;56;fiscal
79.75;0.0;1;643594;reduced;sym;56;backlog
0.03;0.865523;1;715753;full;sym;all;fiscal
90.5;0.0;1;715753;full;sym;all;backlog
4.64;0.03132;1;224780;full;sym;55;fiscal
247.21;0.0;1;224780;full;sym;55;backlog
106.92;0.0;1;490973;full;sym;56;fiscal
10.75;0.001041;1;490973;full;sym;56;backlog
