model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;measure;leg;tercil;n_obs_tercil
PLIV_FE_cluster;backlog;0.172698;0.055463;11.4251;4.2334;18.6168;0.001847;***;42304;535;88;1.511568;MDS-Euclidean;55;low;42304
PLIV_FE_cluster;backlog;0.533372;0.304589;14.8073;-1.7663;31.3809;0.079926;*;37426;565;91;3.602087;MDS-Euclidean;55;mid;37426
PLIV_FE_cluster;backlog;-0.015723;0.007156;-1.3237;-2.5047;-0.1428;0.02802;**;39775;559;91;1.187755;MDS-Euclidean;55;high;39775
PLIV_FE_cluster;backlog;-0.051333;0.01196;-1.855;-2.7022;-1.0079;1.8e-05;***;289827;584;112;2.767205;MDS-Euclidean;56;low;289827
PLIV_FE_cluster;backlog;0.36931;0.24319;20.4152;-5.9339;46.7642;0.128862;;124428;561;102;1.808996;MDS-Euclidean;56;mid;124428
PLIV_FE_cluster;backlog;0.00428;0.00341;0.2208;-0.124;0.5657;0.209463;;201576;552;110;1.937989;MDS-Euclidean;56;high;201576
PLIV_FE_cluster;backlog;0.174143;0.057092;11.5228;4.1185;18.9271;0.002287;***;42331;536;91;1.511289;MDS-Weak;55;low;42331
PLIV_FE_cluster;backlog;-0.022348;0.008238;-1.8674;-3.2166;-0.5183;0.00667;***;38977;560;90;1.196738;MDS-Weak;55;mid;38977
PLIV_FE_cluster;backlog;-0.303411;0.162255;-8.6813;-17.7806;0.418;0.061489;*;38197;563;91;3.495004;MDS-Weak;55;high;38197
PLIV_FE_cluster;backlog;0.406873;0.410411;14.3886;-14.0583;42.8354;0.3215;;224684;577;112;2.827749;MDS-Weak;56;low;224684
PLIV_FE_cluster;backlog;-0.027764;0.005535;-1.223;-1.7009;-0.7452;1e-06;***;192171;570;97;2.270064;MDS-Weak;56;mid;192171
PLIV_FE_cluster;backlog;0.049229;0.012982;3.7206;1.7976;5.6437;0.000149;***;198976;559;112;1.323156;MDS-Weak;56;high;198976
PLIV_FE_cluster;backlog;-0.05654;0.020397;-4.9343;-8.4233;-1.4453;0.005573;***;52372;558;88;1.145849;MDS-Strong;55;low;52372
PLIV_FE_cluster;backlog;-0.13533;0.045688;-4.0581;-6.7433;-1.3729;0.003056;***;47402;593;98;3.334819;MDS-Strong;55;mid;47402
PLIV_FE_cluster;backlog;0.000797;0.003882;0.0821;-0.7015;0.8656;0.837321;;19731;520;85;0.971116;MDS-Strong;55;high;19731
PLIV_FE_cluster;backlog;0.083568;0.054119;2.8224;-0.7601;6.405;0.122551;;208238;585;110;2.960835;MDS-Strong;56;low;208238
PLIV_FE_cluster;backlog;-0.062192;0.006541;-3.2662;-3.9395;-2.5929;0.0;***;227700;577;109;1.904091;MDS-Strong;56;mid;227700
PLIV_FE_cluster;backlog;0.008826;0.005313;0.4053;-0.0729;0.8835;0.096685;*;179893;538;105;2.177703;MDS-Strong;56;high;179893
