model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;measure;leg;tercil;n_obs_tercil;outcome
PLIV_FE_cluster;backlog;-0.135107;0.133089;-4.3667;-12.7975;4.0642;0.310027;;76036;567;99;3.09405;MDS-Euclidean;55;low;76036;gov
PLIV_FE_cluster;backlog;0.001318;0.008051;0.1087;-1.1936;1.4111;0.870014;;77208;582;92;1.211717;MDS-Euclidean;55;mid;77208;gov
PLIV_FE_cluster;backlog;0.005964;0.013314;0.3022;-1.0202;1.6246;0.654193;;73064;571;97;1.973325;MDS-Euclidean;55;high;73064;gov
PLIV_FE_cluster;backlog;-0.037914;0.013524;-1.3793;-2.3435;-0.415;0.005054;***;307104;585;114;2.748901;MDS-Euclidean;56;low;307104;gov
PLIV_FE_cluster;backlog;0.341001;0.259671;18.8019;-9.2605;46.8643;0.189114;;129364;561;102;1.813655;MDS-Euclidean;56;mid;129364;gov
PLIV_FE_cluster;backlog;-0.006362;0.003349;-0.3246;-0.6595;0.0103;0.057489;*;207126;552;114;1.960033;MDS-Euclidean;56;high;207126;gov
PLIV_FE_cluster;backlog;-0.015561;0.025965;-1.1284;-4.8189;2.562;0.548969;;83343;585;98;1.379;MDS-Weak;55;low;83343;gov
PLIV_FE_cluster;backlog;0.213598;0.045597;6.9062;4.0167;9.7957;3e-06;***;90239;601;97;3.092851;MDS-Weak;55;mid;90239;gov
PLIV_FE_cluster;backlog;0.025905;0.011618;5.1305;0.6208;9.6403;0.025761;**;52726;571;91;0.504916;MDS-Weak;55;high;52726;gov
PLIV_FE_cluster;backlog;0.414767;0.313546;14.8475;-7.1517;36.8467;0.185893;;239890;578;115;2.793508;MDS-Weak;56;low;239890;gov
PLIV_FE_cluster;backlog;-0.024991;0.005583;-1.0993;-1.5807;-0.618;8e-06;***;199686;570;102;2.273257;MDS-Weak;56;mid;199686;gov
PLIV_FE_cluster;backlog;0.026063;0.009918;1.9628;0.4988;3.4269;0.008595;***;204018;559;115;1.327839;MDS-Weak;56;high;204018;gov
PLIV_FE_cluster;backlog;-0.009399;0.016158;-0.807;-3.5265;1.9124;0.560792;;78178;583;94;1.164586;MDS-Strong;55;low;78178;gov
PLIV_FE_cluster;backlog;0.041547;0.010797;3.1122;1.5271;4.6974;0.000119;***;77747;588;97;1.334959;MDS-Strong;55;mid;77747;gov
PLIV_FE_cluster;backlog;-0.058326;0.036078;-1.8601;-4.1152;0.3951;0.105955;;70383;599;101;3.13563;MDS-Strong;55;high;70383;gov
PLIV_FE_cluster;backlog;0.265313;0.262161;8.9924;-8.4234;26.4083;0.311527;;218841;583;112;2.950402;MDS-Strong;56;low;218841;gov
PLIV_FE_cluster;backlog;-0.035513;0.00662;-1.8722;-2.5563;-1.1881;0.0;***;240832;577;111;1.896855;MDS-Strong;56;mid;240832;gov
PLIV_FE_cluster;backlog;-0.001756;0.005056;-0.0799;-0.5311;0.3712;0.728356;;183921;538;110;2.196488;MDS-Strong;56;high;183921;gov
