model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;pol_metric;pol_tercil;pol_threshold
PLIV_FE_cluster;backlog;-0.086992;0.00912;-3.5893;-4.3268;-2.8517;0.0;***;287383;929;125;2.423656;pol_simple;low;0.1618
PLIV_FE_cluster;backlog;0.001077;0.014541;0.0484;-1.2308;1.3275;0.940939;;295128;929;130;2.228055;pol_simple;mid;
PLIV_FE_cluster;backlog;0.016915;0.011822;0.6459;-0.2389;1.5307;0.152496;;287391;928;126;2.618891;pol_simple;high;0.7372
PLIV_FE_cluster;backlog;-0.008975;0.006334;-0.3959;-0.9436;0.1517;0.1565;;287068;929;129;2.266825;pol_jaccard;low;0.5092
PLIV_FE_cluster;backlog;0.006306;0.008499;0.2833;-0.4651;1.0317;0.458079;;295493;926;130;2.225887;pol_jaccard;mid;
PLIV_FE_cluster;backlog;0.025263;0.019445;0.9237;-0.4698;2.3171;0.193868;;287341;928;130;2.735112;pol_jaccard;high;0.7718
PLIV_FE_cluster;backlog;0.092613;0.025341;4.2067;1.9506;6.4627;0.000258;***;288944;892;119;2.201575;pol_paper_euclidean_mds;low;82.2321
PLIV_FE_cluster;backlog;-0.06339;0.006484;-2.2669;-2.7213;-1.8124;0.0;***;276054;586;110;2.796341;pol_paper_euclidean_mds;mid;
PLIV_FE_cluster;backlog;-0.00114;0.00397;-0.0553;-0.4328;0.3222;0.774067;;304904;565;120;2.061479;pol_paper_euclidean_mds;high;101.4411
PLIV_FE_cluster;backlog;0.10945;0.018051;4.6636;3.1561;6.171;0.0;***;292476;894;119;2.346918;pol_paper_euclidean_centroidK2;low;153.6654
PLIV_FE_cluster;backlog;-0.065636;0.008102;-2.3772;-2.9523;-1.802;0.0;***;272522;586;114;2.76112;pol_paper_euclidean_centroidK2;mid;
PLIV_FE_cluster;backlog;-0.000439;0.004063;-0.0213;-0.4075;0.365;0.913982;;304904;565;120;2.061479;pol_paper_euclidean_centroidK2;high;187.9075
PLIV_FE_cluster;backlog;-0.004984;0.032159;-0.1981;-2.7043;2.308;0.876848;;355088;903;124;2.515069;pol_paper_forte_mds;low;4.1928
PLIV_FE_cluster;backlog;-0.057553;0.010482;-2.4066;-3.2657;-1.5475;0.0;***;224575;855;113;2.391502;pol_paper_forte_mds;mid;
PLIV_FE_cluster;backlog;-0.002681;0.003969;-0.1333;-0.5199;0.2533;0.499307;;290239;835;123;2.012174;pol_paper_forte_mds;high;4.6822
PLIV_FE_cluster;backlog;-0.010662;0.032285;-0.3788;-2.6268;1.8693;0.741223;;366283;915;123;2.814828;pol_paper_forte_centroidK2;low;7.8643
PLIV_FE_cluster;backlog;0.011393;0.008587;0.571;-0.2725;1.4145;0.184579;;205161;875;114;1.995343;pol_paper_forte_centroidK2;mid;
PLIV_FE_cluster;backlog;0.004916;0.004199;0.2426;-0.1635;0.6486;0.241727;;298458;830;122;2.026695;pol_paper_forte_centroidK2;high;8.7818
PLIV_FE_cluster;backlog;0.026818;0.018676;1.0535;-0.3844;2.4915;0.151006;;362243;903;126;2.545576;pol_paper_fraca_mds;low;0.2615
PLIV_FE_cluster;backlog;-0.027156;0.007895;-1.0109;-1.587;-0.4349;0.000582;***;219247;881;116;2.686279;pol_paper_fraca_mds;mid;
PLIV_FE_cluster;backlog;-0.001564;0.007499;-0.0856;-0.8902;0.7189;0.83478;;288412;871;122;1.826821;pol_paper_fraca_mds;high;0.2938
PLIV_FE_cluster;backlog;0.012376;0.016372;0.5663;-0.9019;2.0344;0.449682;;302602;899;122;2.18562;pol_paper_fraca_centroidK2;low;0.4529
PLIV_FE_cluster;backlog;-0.047412;0.007774;-1.7053;-2.2533;-1.1573;0.0;***;260411;844;112;2.780223;pol_paper_fraca_centroidK2;mid;
PLIV_FE_cluster;backlog;-0.004017;0.003585;-0.1849;-0.5083;0.1385;0.262506;;306889;566;120;2.1729;pol_paper_fraca_centroidK2;high;0.5005
